"Codi";"Nom";"Codi comarca";"Nom comarca";"negatius";"positius"
251137;"Ivars d'Urgell";27;"Pla d'Urgell";1;0
251121;"Ivars de Noguera";23;"Noguera";1;1
251142;"Ivorra";32;"Segarra";1;1
170852;"Jafre";10;"Baix Empordà";0;0
170865;"Jonquera, la";2;"Alt Empordà";1;0
81038;"Jorba";6;"Anoia";8;5
259101;"Josa i Tuixén";4;"Alt Urgell";0;0
170871;"Juià";20;"Gironès";0;0
251180;"Juncosa";18;"Garrigues";3;0
251193;"Juneda";18;"Garrigues";13;14
251214;"Les";39;"Aran";2;0
251229;"Linyola";27;"Pla d'Urgell";5;0
81043;"Llacuna, la";6;"Anoia";4;4
251235;"Lladorre";26;"Pallars Sobirà";0;0
251240;"Lladurs";35;"Solsonès";0;0
170887;"Lladó";2;"Alt Empordà";1;0
81056;"Llagosta, la";41;"Vallès Oriental";43;33
170890;"Llagostera";20;"Gironès";20;14
170904;"Llambilles";20;"Gironès";2;1
170911;"Llanars";31;"Ripollès";1;0
170926;"Llançà";2;"Alt Empordà";0;1
251253;"Llardecans";33;"Segrià";2;2
251266;"Llavorsí";26;"Pallars Sobirà";0;0
251207;"Lleida";33;"Segrià";368;246
170932;"Llers";2;"Alt Empordà";1;0
251272;"Lles de Cerdanya";15;"Cerdanya";0;1
251288;"Llimiana";25;"Pallars Jussà";0;0
81069;"Llinars del Vallès";41;"Vallès Oriental";34;21
81075;"Lliçà d'Amunt";41;"Vallès Oriental";38;30
81081;"Lliçà de Vall";41;"Vallès Oriental";27;15
430727;"Lloar, el";29;"Priorat";0;0
251291;"Llobera";35;"Solsonès";0;0
430733;"Llorac";16;"Conca de Barberà";0;0
430748;"Llorenç del Penedès";12;"Baix Penedès";3;1
170950;"Lloret de Mar";34;"Selva";34;38
170963;"Llosses, les";31;"Ripollès";0;0
81094;"Lluçà";24;"Osona";1;0
170947;"Llívia";15;"Cerdanya";0;0
170979;"Madremanya";20;"Gironès";1;0
251333;"Maials";33;"Segrià";0;4
170985;"Maià de Montcal";19;"Garrotxa";0;1
251305;"Maldà";38;"Urgell";0;0
81108;"Malgrat de Mar";21;"Maresme";25;12
81115;"Malla";24;"Osona";1;0
81120;"Manlleu";24;"Osona";34;63
81136;"Manresa";7;"Bages";137;132
430751;"Margalef";29;"Priorat";0;0
82423;"Marganell";7;"Bages";1;0
81141;"Martorell";11;"Baix Llobregat";65;53
81154;"Martorelles";41;"Vallès Oriental";17;10
430764;"Marçà";29;"Priorat";3;0
430770;"Mas de Barberans";22;"Montsià";2;0
171002;"Masarac";2;"Alt Empordà";0;0
430786;"Masdenverge";22;"Montsià";1;0
81167;"Masies de Roda, les";24;"Osona";0;2
81173;"Masies de Voltregà, les";24;"Osona";4;8
430799;"Masllorenç";12;"Baix Penedès";0;0
81189;"Masnou, el";21;"Maresme";75;53
430810;"Maspujols";8;"Baix Camp";2;0
81192;"Masquefa";6;"Anoia";21;12
430825;"Masroig, el";29;"Priorat";1;0
251312;"Massalcoreig";33;"Segrià";0;0
171019;"Massanes";34;"Selva";2;3
251327;"Massoteres";32;"Segarra";1;1
430803;"Masó, la";1;"Alt Camp";0;0
81206;"Matadepera";40;"Vallès Occidental";26;19
81213;"Mataró";21;"Maresme";364;191
171024;"Maçanet de Cabrenys";2;"Alt Empordà";0;0
171030;"Maçanet de la Selva";34;"Selva";18;4
81228;"Mediona";3;"Alt Penedès";7;8
251348;"Menàrguens";23;"Noguera";0;0
170998;"Meranges";15;"Cerdanya";0;0
171058;"Mieres";19;"Garrotxa";0;0
430831;"Milà, el";1;"Alt Camp";1;0
251351;"Miralcamp";27;"Pla d'Urgell";0;4
430846;"Miravet";30;"Ribera d'Ebre";1;0
81385;"Moià";42;"Moianès";8;8
430859;"Molar, el";29;"Priorat";0;0
81234;"Molins de Rei";11;"Baix Llobregat";43;23
251370;"Mollerussa";27;"Pla d'Urgell";15;22
171061;"Mollet de Peralada";2;"Alt Empordà";0;0
81249;"Mollet del Vallès";41;"Vallès Oriental";188;214
171077;"Molló";31;"Ripollès";3;0
251364;"Molsosa, la";35;"Solsonès";0;0
81287;"Monistrol de Calders";42;"Moianès";0;1
81271;"Monistrol de Montserrat";7;"Bages";8;1
430918;"Mont-ral";1;"Alt Camp";0;0
171100;"Mont-ras";10;"Baix Empordà";4;1
430923;"Mont-roig del Camp";8;"Baix Camp";13;3
171096;"Montagut i Oix";19;"Garrotxa";1;0
430862;"Montblanc";16;"Conca de Barberà";10;4
430884;"Montbrió del Camp";8;"Baix Camp";6;1
81252;"Montcada i Reixac";40;"Vallès Occidental";94;110
81304;"Montclar";14;"Berguedà";0;0
251399;"Montellà i Martinet";15;"Cerdanya";1;0
81311;"Montesquiu";24;"Osona";4;1
251403;"Montferrer i Castellbò";4;"Alt Urgell";0;3
430897;"Montferri";1;"Alt Camp";0;1
251386;"Montgai";23;"Noguera";0;1
81265;"Montgat";21;"Maresme";51;31
81326;"Montmajor";14;"Berguedà";0;1
81332;"Montmaneu";6;"Anoia";2;1
430901;"Montmell, el";12;"Baix Penedès";3;0
81350;"Montmeló";41;"Vallès Oriental";23;18
251425;"Montoliu de Lleida";33;"Segrià";0;0
251410;"Montoliu de Segarra";32;"Segarra";0;0
251431;"Montornès de Segarra";32;"Segarra";0;0
81363;"Montornès del Vallès";41;"Vallès Oriental";41;83
81379;"Montseny";41;"Vallès Oriental";2;0
430957;"Morell, el";36;"Tarragonès";5;1
430960;"Morera de Montsant, la";29;"Priorat";1;0
81290;"Muntanyola";24;"Osona";1;1
81398;"Mura";7;"Bages";0;0
430939;"Móra d'Ebre";30;"Ribera d'Ebre";13;2
430944;"Móra la Nova";30;"Ribera d'Ebre";4;1
251459;"Nalec";38;"Urgell";0;0
250254;"Naut Aran";39;"Aran";2;1
81402;"Navarcles";7;"Bages";9;12
171117;"Navata";2;"Alt Empordà";2;1
81419;"Navàs";7;"Bages";9;13
251462;"Navès";35;"Solsonès";0;1
81424;"Nou de Berguedà, la";14;"Berguedà";0;0
430976;"Nou de Gaià, la";36;"Tarragonès";0;0
430982;"Nulles";1;"Alt Camp";2;0
251484;"Odèn";35;"Solsonès";0;0
171122;"Ogassa";31;"Ripollès";0;0
81461;"Olesa de Bonesvalls";3;"Alt Penedès";7;0
81477;"Olesa de Montserrat";11;"Baix Llobregat";42;59
251497;"Oliana";4;"Alt Urgell";6;7
251500;"Oliola";23;"Noguera";0;0
251517;"Olius";35;"Solsonès";0;1
81483;"Olivella";17;"Garraf";3;1
81496;"Olost";24;"Osona";0;3
171143;"Olot";19;"Garrotxa";56;82
251522;"Oluges, les";32;"Segarra";1;0
81445;"Olvan";14;"Berguedà";0;0
81458;"Olèrdola";3;"Alt Penedès";9;2
251538;"Omellons, els";18;"Garrigues";0;1
251543;"Omells de na Gaia, els";38;"Urgell";1;0
171156;"Ordis";2;"Alt Empordà";0;0
251556;"Organyà";4;"Alt Urgell";3;0
81516;"Oristà";24;"Osona";0;2
81521;"Orpí";6;"Anoia";0;1
81509;"Orís";24;"Osona";0;3
251569;"Os de Balaguer";23;"Noguera";0;1
171169;"Osor";34;"Selva";0;0
251575;"Ossó de Sió";38;"Urgell";0;0
81542;"Pacs del Penedès";3;"Alt Penedès";1;1
81555;"Palafolls";21;"Maresme";7;6
171175;"Palafrugell";10;"Baix Empordà";28;22
171181;"Palamós";10;"Baix Empordà";56;35
251581;"Palau d'Anglesola, el";27;"Pla d'Urgell";2;2
171194;"Palau de Santa Eulàlia";2;"Alt Empordà";0;0
171215;"Palau-sator";10;"Baix Empordà";0;0
171208;"Palau-saverdera";2;"Alt Empordà";3;0
81568;"Palau-solità i Plegamans";40;"Vallès Occidental";32;23
431009;"Pallaresos, els";36;"Tarragonès";16;3
81574;"Pallejà";11;"Baix Llobregat";23;18
430995;"Palma d'Ebre, la";30;"Ribera d'Ebre";1;0
89058;"Palma de Cervelló, la";11;"Baix Llobregat";3;0
171236;"Palol de Revardit";28;"Pla de l'Estany";0;0
171241;"Pals";10;"Baix Empordà";4;0
81580;"Papiol, el";11;"Baix Llobregat";9;3
171254;"Pardines";31;"Ripollès";0;0
81593;"Parets del Vallès";41;"Vallès Oriental";60;85
171267;"Parlavà";10;"Baix Empordà";0;0
431016;"Passanant i Belltall";16;"Conca de Barberà";0;0
171289;"Pau";2;"Alt Empordà";0;0
431021;"Paüls";9;"Baix Ebre";0;0
171292;"Pedret i Marzà";2;"Alt Empordà";0;0
251641;"Penelles";23;"Noguera";0;0
171306;"Pera, la";10;"Baix Empordà";3;0
81607;"Perafita";24;"Osona";0;0
431037;"Perafort";36;"Tarragonès";1;0
171328;"Peralada";2;"Alt Empordà";1;0
251654;"Peramola";4;"Alt Urgell";0;0
431042;"Perelló, el";9;"Baix Ebre";3;0
81614;"Piera";6;"Anoia";49;45
431055;"Piles, les";16;"Conca de Barberà";0;0
81635;"Pineda de Mar";21;"Maresme";66;17
431068;"Pinell de Brai, el";37;"Terra Alta";0;0
251667;"Pinell de Solsonès";35;"Solsonès";0;0
251673;"Pinós";35;"Solsonès";0;0
431074;"Pira";16;"Conca de Barberà";2;1
431080;"Pla de Santa Maria, el";1;"Alt Camp";1;1
81640;"Pla del Penedès, el";3;"Alt Penedès";2;0
171334;"Planes d'Hostoles, les";19;"Garrotxa";1;1
171349;"Planoles";31;"Ripollès";0;0
